trainerID,place,pokename,pokelevel,type1,type2,hp,maxhp,attack,defense,spatk,spdef,speed
3230,2,Lickitung,50,Normal,None,168,168,78,98,83,98,53
3231,0,Minun,30,Electric,None,86,86,39,45,60,66,72
3231,1,Beautifly,30,Bug,Flying,86,86,57,45,75,45,54
3231,2,Ledian,28,Bug,Flying,78,78,34,43,45,76,62
3231,3,Illumise,31,Bug,None,92,92,45,50,61,62,68
3232,0,Banette,40,Ghost,None,115,115,111,71,85,69,71
3232,1,Sableye,40,Dark,Ghost,104,104,79,79,71,71,59
3232,2,Dusclops,40,Ghost,None,96,96,75,123,67,123,39
3232,3,Crobat,44,Poison,Flying,144,144,100,91,82,91,135
3232,4,Wailord,44,Water,None,219,219,100,60,100,60,73
3233,0,Houndoom,37,Dark,Fire,115,115,84,55,99,77,88
3233,1,Ninetales,37,Fire,None,114,114,74,73,78,92,92
3233,2,Vileplume,34,Grass,Poison,107,107,71,75,92,78,51
3233,3,Magmar,50,Fire,None,143,143,118,80,123,108,116
3233,4,Pinsir,50,Bug,None,143,143,148,123,78,93,108
3234,0,Masquerain,33,Bug,Flying,101,101,56,57,69,71,56
3234,1,Dunsparce,33,Normal,None,120,120,63,63,59,59,46
3234,2,Roselia,33,Grass,Poison,87,87,56,46,82,69,59
3234,3,Spinda,33,Normal,None,94,94,56,56,56,56,56
3235,0,Seviper,29,Poison,None,91,91,73,50,73,50,53
3235,1,Murkrow,29,Dark,Flying,84,84,64,39,64,39,68
3235,2,Paras,50,Bug,Grass,113,113,93,78,68,78,48
3235,3,Growlithe,50,Fire,None,133,133,93,68,93,73,83
3236,0,Plusle,30,Electric,None,86,86,45,39,66,60,72
3236,1,Dustox,30,Bug,Poison,86,86,45,57,45,69,54
3236,2,Xatu,31,Psychic,Flying,92,92,62,59,75,59,75
3236,3,Volbeat,30,Bug,None,89,89,59,48,44,60,66
3237,0,Delibird,36,Ice,Flying,91,91,57,50,64,50,71
3237,1,Grumpig,36,Psychic,None,116,116,50,64,82,97,75
3237,2,Swalot,35,Poison,None,127,127,68,75,68,75,56
3237,3,Relicanth,35,Water,Rock,127,127,80,108,49,63,56
3237,4,Golduck,37,Water,None,119,119,79,76,88,77,81
3237,5,Quagsire,35,Water,Ground,124,124,77,77,63,63,42
3238,0,Doduo,13,Normal,Flying,36,36,31,21,18,18,29
3238,1,Taillow,14,Normal,Flying,40,40,25,18,18,18,33
3239,0,Yanma,39,Bug,Flying,113,113,69,54,77,54,93
3239,1,Roselia,37,Grass,Poison,97,97,62,51,92,77,66
3239,2,Smeargle,39,Normal,None,105,105,34,46,34,54,77
3239,3,Vileplume,37,Grass,Poison,115,115,77,81,99,84,55
3239,4,Altaria,40,Dragon,Flying,124,124,75,91,75,103,83
3240,0,Roselia,32,Grass,Poison,85,85,54,45,80,67,58
3240,1,Hoppip,32,Grass,Flying,75,75,38,42,38,51,48
3240,2,Masquerain,31,Bug,Flying,95,95,53,54,65,67,53
3240,3,Bellossom,32,Grass,None,101,101,67,77,74,80,48
3241,0,Volbeat,20,Bug,None,63,63,41,34,31,42,46
3241,1,Spoink,21,Psychic,None,63,63,23,27,41,46,37
3241,2,Illumise,20,Bug,None,63,63,31,34,41,42,46
3241,3,Seviper,21,Poison,None,69,69,54,37,54,37,39
3241,4,Wailmer,22,Water,None,97,97,43,28,43,28,39
3242,0,Medicham,38,Fighting,Psychic,107,107,64,75,64,75,79
3242,1,Golem,38,Rock,Ground,122,122,109,117,60,68,52
3242,2,Xatu,38,Psychic,Flying,111,111,75,71,90,71,90
3242,3,Hitmonchan,50,Fighting,None,128,128,128,102,58,133,99
3243,0,Mightyena,35,Dark,None,106,106,80,66,59,59,66
3243,1,Stantler,34,Normal,None,105,105,81,59,75,61,75
3243,2,Zangoose,37,Normal,None,114,114,103,62,62,62,84
3243,3,Sharpedo,35,Water,Dark,106,106,101,45,84,45,84
3243,4,Sunflora,34,Grass,None,107,107,68,54,88,75,37
3244,0,Shuckle,44,Bug,Rock,87,87,29,223,29,223,25
3244,1,Blissey,42,Normal,None,281,281,28,28,83,133,66
3244,2,Weezing,41,Poison,None,119,119,93,118,89,77,68
3245,0,Absol,30,Dark,None,89,89,93,51,60,51,60
3245,1,Smeargle,31,Normal,None,86,86,28,37,28,44,62
3245,2,Donphan,30,Ground,None,104,104,87,87,51,51,45
3245,3,Ampharos,31,Electric,None,107,107,62,68,87,71,50
3245,4,Tentacruel,31,Water,Poison,101,101,59,56,65,90,78
3246,0,Glalie,41,Ice,None,131,131,85,85,85,85,85
3246,1,Ampharos,44,Electric,None,149,149,86,95,122,100,69
3246,2,Breloom,42,Grass,Fighting,117,117,129,87,70,70,78
3246,3,Donphan,44,Ground,None,149,149,126,126,73,73,64
3246,4,Dugtrio,50,Ground,None,113,113,103,73,73,93,143
3247,0,Camerupt,37,Fire,Ground,112,112,92,70,96,73,47
3247,1,Weezing,37,Poison,None,108,108,84,107,81,70,62
3247,2,Muk,38,Poison,None,141,141,98,75,68,94,56
3247,3,Rapidash,50,Fire,None,143,143,123,93,103,103,128
3247,4,Magcargo,50,Fire,Rock,128,128,73,143,103,103,53
3248,0,Cacturne,37,Grass,Dark,112,112,103,62,103,62,59
3248,1,Ninetales,37,Fire,None,114,114,74,73,78,92,92
3248,2,Torkoal,37,Fire,None,112,112,81,121,81,70,33
3248,3,Mantine,37,Water,Flying,108,108,47,70,77,121,70
3248,4,Tropius,35,Grass,Flying,126,126,65,75,68,78,53
3249,0,Clamperl,31,Water,None,73,73,55,68,62,50,36
3249,1,Octillery,31,Water,None,98,98,81,62,81,62,44
3249,2,Lanturn,31,Water,Electric,129,129,52,52,63,63,57
3249,3,Relicanth,32,Water,Rock,117,117,74,99,45,58,51
3250,0,Stantler,41,Normal,None,125,125,97,70,89,73,89
3250,1,Exploud,41,Normal,None,151,151,94,71,94,79,75
3250,2,Scyther,50,Bug,Flying,148,148,133,103,78,103,128
3250,3,Chansey,50,Normal,None,328,328,28,28,58,128,73
3251,0,Electrode,34,Electric,None,97,97,51,64,71,71,112
3251,1,Misdreavus,34,Ghost,None,97,97,58,58,75,75,75
3251,2,Claydol,36,Ground,Psychic,102,102,68,93,68,104,71
3251,3,Kangaskhan,50,Normal,None,183,183,118,103,63,103,113
3251,4,Banette,50,Ghost,None,142,142,138,88,106,86,88
3252,0,Sneasel,20,Dark,Ice,59,59,50,34,26,42,58
3252,1,Yanma,19,Bug,Flying,60,60,36,28,40,28,47
3252,2,Misdreavus,20,Ghost,None,61,61,36,36,46,46,46
3252,3,Duskull,50,Ghost,None,98,98,63,113,53,113,48
3253,0,Beedrill,50,Bug,Poison,143,143,113,63,68,103,98
3253,1,Furret,30,Normal,None,101,101,61,54,42,48,69
3253,2,Togetic,31,Fairy,Flying,86,86,40,68,65,81,40
3253,3,Pidgeotto,50,Normal,Flying,141,141,83,78,73,73,94
3254,0,Natu,16,Psychic,Flying,44,44,26,25,33,25,33
3254,1,Nincada,14,Bug,Ground,37,37,22,35,18,18,21
3254,2,Wailmer,15,Water,None,69,69,31,20,31,20,28
3255,0,Spinarak,20,Bug,Poison,53,53,36,28,28,28,24
3255,1,Beautifly,19,Bug,Flying,58,58,38,30,49,30,36
3255,2,Dustox,20,Bug,Poison,61,61,32,40,32,48,38
3255,3,Vulpix,50,Fire,None,116,116,64,63,73,88,88
3256,0,Corphish,18,Water,None,49,49,40,34,29,24,24
3256,1,Electrike,17,Electric,None,46,46,26,24,33,24,33
3256,2,Grimer,18,Poison,None,63,63,40,29,25,29,20
3257,0,Beldum,18,Steel,Psychic,48,48,31,40,24,33,22
3257,1,Murkrow,18,Dark,Flying,56,56,42,26,42,26,44
3257,2,Slakoth,18,Normal,None,56,56,33,33,24,24,22
3257,3,Rhyhorn,18,Ground,Rock,63,63,42,45,22,22,20
3258,0,Swinub,14,Ice,Ground,43,43,24,21,18,18,24
3258,1,Shuppet,13,Ghost,None,39,39,29,18,26,18,21
3258,2,Spinarak,50,Bug,Poison,118,118,83,63,63,63,53
3259,0,Jigglypuff,17,Normal,Fairy,72,72,26,17,26,19,17
3259,1,Chimecho,17,Psychic,None,55,55,28,34,43,38,33
3259,2,Dunsparce,16,Normal,None,63,63,33,33,31,31,25
3260,0,Sudowoodo,20,Rock,None,65,65,52,58,24,38,24
3260,1,Clamperl,21,Water,None,53,53,39,48,43,35,26
3261,0,Grumpig,39,Psychic,None,125,125,54,69,89,104,81
3261,1,Skarmory,39,Steel,Flying,113,113,81,128,50,73,73
3261,2,Metang,39,Steel,Psychic,109,109,77,97,61,81,58
3261,3,Hariyama,39,Fighting,None,175,175,112,65,50,65,58
3261,4,Hitmonlee,50,Fighting,None,128,128,143,76,58,133,110
3262,0,Grimer,10,Poison,None,39,39,24,18,16,18,13
3262,1,Tentacool,10,Water,Poison,31,31,16,15,18,28,22
3262,2,Koffing,11,Poison,None,33,33,23,29,22,18,16
3262,3,Gulpin,50,Poison,None,148,148,66,76,66,76,63
3263,0,Grimer,10,Poison,None,39,39,24,18,16,18,13
3263,1,Tentacool,10,Water,Poison,31,31,16,15,18,28,22
3263,2,Koffing,11,Poison,None,33,33,23,29,22,18,16
3263,3,Zubat,10,Poison,Flying,31,31,17,15,14,16,19
3264,0,Grimer,20,Poison,None,69,69,44,32,28,32,22
3264,1,Tentacool,20,Water,Poison,53,53,28,26,32,52,40
3264,2,Koffing,20,Poison,None,53,53,38,50,36,30,26
3264,3,Zubat,20,Poison,Flying,53,53,30,26,24,28,34
3265,0,Muk,50,Poison,None,183,183,128,98,88,123,73
3265,1,Tentacruel,50,Water,Poison,158,158,93,88,103,143,123
3265,2,Weezing,50,Poison,None,143,143,113,143,108,93,83
3265,3,Golbat,50,Poison,Flying,153,153,103,93,88,98,113
3266,0,Slugma,14,Fire,None,40,40,21,21,29,21,15
3266,1,Houndour,50,Dark,Fire,123,123,83,53,103,73,88
3267,0,Slugma,14,Fire,None,40,40,21,21,29,21,15
3267,1,Numel,14,Fire,Ground,45,45,26,21,28,22,19
3268,0,Slugma,20,Fire,None,53,53,28,28,40,28,20
3268,1,Numel,20,Fire,Ground,61,61,36,28,38,30,26
3269,0,Magcargo,50,Fire,Rock,128,128,73,143,103,103,53
3269,1,Camerupt,50,Fire,Ground,148,148,123,93,128,98,63
3270,0,Carvanha,18,Water,Dark,50,50,43,18,34,18,34
3270,1,Barboach,17,Water,Ground,50,50,27,25,26,25,31
3271,0,Qwilfish,19,Water,Poison,60,60,47,40,32,32,44
3271,1,Rhyhorn,20,Ground,Rock,69,69,46,50,24,24,22
3271,2,Chinchou,20,Water,Electric,67,67,27,27,34,34,39
3271,3,Koffing,20,Poison,None,53,53,38,50,36,30,26
3272,0,Huntail,27,Water,None,76,76,70,71,65,55,42
3272,1,Cacnea,27,Grass,None,73,73,60,36,60,36,33
3272,2,Teddiursa,27,Normal,None,79,79,57,41,41,41,36
3272,3,Koffing,27,Poison,None,68,68,49,66,47,39,33
3273,0,Huntail,36,Water,None,98,98,92,93,85,71,55
3273,1,Cacturne,35,Grass,Dark,106,106,98,59,98,59,56
3273,2,Weezing,35,Poison,None,103,103,80,101,77,66,59
3273,3,Ursaring,35,Normal,None,120,120,108,70,70,70,56
3273,4,Arbok,50,Poison,None,138,138,108,92,88,102,103
3274,0,Shedinja,31,Bug,Ghost,52,52,71,44,34,34,40
3274,1,Wobbuffet,30,Psychic,None,164,164,35,50,35,50,35
3274,2,Vibrava,35,Ground,Dragon,92,92,66,52,52,52,66
3274,3,Magneton,50,Electric,Steel,128,128,83,118,143,93,93
3275,0,Ralts,15,Psychic,Fairy,38,38,17,17,23,20,22
3275,1,Voltorb,16,Electric,None,44,44,20,26,28,28,42
3275,2,Bagon,16,Dragon,None,46,46,34,29,23,20,26
3275,3,Numel,50,Fire,Ground,138,138,83,63,88,68,58
3276,0,Ninetales,30,Fire,None,94,94,61,60,64,75,75
3276,1,Jumpluff,30,Grass,Flying,95,95,48,57,48,72,81
3276,2,Azumarill,32,Water,Fairy,117,117,48,67,54,67,48
3276,3,Tangela,50,Grass,None,143,143,78,138,123,63,83
3276,4,Butterfree,50,Bug,Flying,138,138,68,73,113,103,93
3277,0,Kecleon,19,Normal,None,58,58,46,38,34,57,27
3277,1,Surskit,21,Bug,Water,55,55,25,26,33,34,39
3277,2,Makuhita,50,Fighting,None,150,150,83,53,43,53,48
3278,0,Chinchou,11,Water,Electric,41,41,17,17,21,21,23
3278,1,Electrike,12,Electric,None,35,35,20,18,24,18,24
3278,2,Mareep,50,Electric,None,133,133,63,63,88,68,58
3279,0,Chinchou,11,Water,Electric,41,41,17,17,21,21,23
3279,1,Electrike,12,Electric,None,35,35,20,18,24,18,24
3279,2,Magnemite,11,Electric,Steel,30,30,16,24,29,21,18
3280,0,Chinchou,20,Water,Electric,67,67,27,27,34,34,39
3280,1,Electrike,20,Electric,None,53,53,30,28,38,28,38
3280,2,Magnemite,20,Electric,Steel,47,47,26,40,50,34,30
3281,0,Lanturn,50,Water,Electric,203,203,81,81,99,99,90
3281,1,Manectric,50,Electric,None,148,148,98,83,128,83,128
3281,2,Magneton,50,Electric,Steel,128,128,83,118,143,93,93
3285,0,Kadabra,33,Psychic,None,81,81,39,36,96,63,86
3286,0,Kadabra,44,Psychic,None,105,105,51,47,126,82,113
3286,1,Ambipom,44,Normal,None,135,135,108,78,73,78,122
3287,0,Alakazam,50,Psychic,None,133,133,73,68,158,118,143
3287,1,Ambipom,50,Normal,None,153,153,123,89,83,89,138
3288,0,Alakazam,56,Psychic,None,147,147,81,75,176,131,159
3288,1,Ambipom,56,Normal,None,170,170,137,99,92,99,153
3294,0,Lombre,14,Water,Grass,45,45,24,24,26,29,24
3294,1,Nuzleaf,14,Grass,Dark,48,48,29,21,26,21,26
3295,0,Lombre,26,Water,Grass,76,76,40,40,45,50,40
3295,1,Nuzleaf,26,Grass,Dark,81,81,50,35,45,35,45
3296,0,Lombre,29,Water,Grass,84,84,44,44,50,56,44
3296,1,Nuzleaf,29,Grass,Dark,90,90,56,38,50,38,50
3297,0,Lombre,32,Water,Grass,91,91,48,48,54,61,48
3297,1,Nuzleaf,32,Grass,Dark,98,98,61,42,54,42,54
3298,0,Ludicolo,35,Water,Grass,113,113,66,66,80,87,66
3298,1,Shiftry,35,Grass,Dark,120,120,87,59,80,59,73
3299,0,Seviper,20,Poison,None,66,66,52,36,52,36,38
3300,0,Zangoose,20,Normal,None,66,66,58,36,36,36,48
3301,0,Zangoose,30,Normal,None,94,94,84,51,51,51,69
3301,1,Seviper,30,Poison,None,94,94,75,51,75,51,54
3302,0,Lombre,14,Water,Grass,45,45,24,24,26,29,24
3302,1,Nuzleaf,14,Grass,Dark,48,48,29,21,26,21,26
3303,0,Lombre,26,Water,Grass,76,76,40,40,45,50,40
3303,1,Nuzleaf,26,Grass,Dark,81,81,50,35,45,35,45
3304,0,Lombre,29,Water,Grass,84,84,44,44,50,56,44
3304,1,Nuzleaf,29,Grass,Dark,90,90,56,38,50,38,50
3305,0,Lombre,32,Water,Grass,91,91,48,48,54,61,48
3305,1,Nuzleaf,32,Grass,Dark,98,98,61,42,54,42,54
3306,0,Ludicolo,35,Water,Grass,113,113,66,66,80,87,66
3306,1,Shiftry,35,Grass,Dark,120,120,87,59,80,59,73
3307,0,Zangoose,18,Normal,None,60,60,52,33,33,33,43
3307,1,Seviper,18,Poison,None,60,60,47,33,47,33,34
3308,0,Ponyta,22,Fire,None,61,61,50,37,41,41,52
3308,1,Ponyta,20,Fire,None,57,57,46,34,38,38,48
3308,2,Ponyta,24,Fire,None,66,66,54,40,44,44,56
3309,0,Geodude,17,Rock,Ground,46,46,38,45,21,21,17
3309,1,Geodude,18,Rock,Ground,48,48,40,47,22,22,18
3309,2,Geodude,19,Rock,Ground,51,51,42,49,23,23,19
3310,0,Roselia,20,Grass,Poison,57,57,36,30,52,44,38
3310,1,Roselia,22,Grass,Poison,61,61,39,32,56,48,41
3310,2,Roselia,24,Grass,Poison,66,66,42,35,61,52,44
3311,0,Sudowoodo,19,Rock,None,62,62,49,55,23,36,23
3311,1,Sudowoodo,19,Rock,None,62,62,49,55,23,36,23
3311,2,Sudowoodo,19,Rock,None,62,62,49,55,23,36,23
3312,0,Clefairy,20,Fairy,None,65,65,30,31,36,38,26
3312,1,Clefairy,20,Fairy,None,65,65,30,31,36,38,26
3312,2,Clefairy,20,Fairy,None,65,65,30,31,36,38,26
3314,0,Hippopotas,28,Ground,None,86,86,55,58,36,38,33
3314,1,Hippopotas,28,Ground,None,86,86,55,58,36,38,33
3314,2,Hippopotas,34,Ground,None,102,102,66,70,43,45,39
3315,0,Hippopotas,51,Ground,None,148,148,96,102,62,66,56
3315,1,Hippopotas,53,Ground,None,154,154,100,106,64,68,58
3315,2,Hippopotas,52,Ground,None,151,151,98,104,63,67,57
3316,0,Buizel,21,Water,None,61,61,39,27,37,25,48
3316,1,Buizel,21,Water,None,61,61,39,27,37,25,48
3316,2,Buizel,24,Water,None,69,69,44,30,42,28,54
3317,0,Gastly,12,Ghost,Poison,33,33,17,16,33,17,28
3317,1,Gastly,13,Ghost,Poison,35,35,18,17,35,18,30
3317,2,Gastly,17,Ghost,Poison,43,43,23,21,45,23,38
3318,0,Skorupi,21,Poison,Bug,55,55,33,50,25,35,39
3318,1,Carnivine,21,Grass,None,69,69,54,42,50,42,31
3318,2,Tangela,21,Grass,None,65,65,35,60,54,29,37
3318,3,Tropius,21,Grass,Flying,80,80,41,47,42,49,33
3318,4,Croagunk,21,Poison,Fighting,58,58,38,29,38,29,33
3318,5,Yanma,21,Bug,Flying,65,65,39,31,44,31,52
3319,0,Umbreon,27,Dark,None,98,98,49,74,47,84,49
3319,1,Espeon,27,Psychic,None,81,81,49,47,84,66,74
3320,0,Jolteon,24,Electric,None,73,73,44,42,66,59,76
3320,1,Flareon,24,Fire,None,73,73,76,42,59,66,44
3320,2,Vaporeon,24,Water,None,105,105,44,42,66,59,44
3321,0,Munchlax,25,Normal,None,111,111,56,34,34,56,16
3322,0,Feebas,28,Water,None,59,59,23,26,20,45,59
3323,0,Heracross,25,Bug,Fighting,84,84,76,51,34,61,56
3324,0,Togetic,35,Fairy,Flying,96,96,45,77,73,91,45
3325,0,Togekiss,54,Fairy,Flying,175,175,78,127,154,148,110
3326,0,Porygon,27,Normal,None,81,81,47,52,60,55,36
3327,0,Gible,22,Dragon,Ground,65,65,43,32,30,32,31
3328,0,Lombre,15,Water,Grass,48,48,25,25,28,31,25
3328,1,Nuzleaf,15,Grass,Dark,51,51,31,22,28,22,28
3329,0,Lombre,25,Water,Grass,74,74,39,39,44,49,39
3329,1,Nuzleaf,25,Grass,Dark,79,79,49,34,44,34,44
3330,0,Ludicolo,39,Water,Grass,125,125,73,73,89,97,73
3330,1,Shiftry,39,Grass,Dark,133,133,97,65,89,65,81
3331,0,Ludicolo,43,Water,Grass,137,137,80,80,97,106,80
3331,1,Shiftry,43,Grass,Dark,145,145,106,72,97,72,89
3332,0,Ludicolo,49,Water,Grass,155,155,91,91,110,120,91
3332,1,Shiftry,49,Grass,Dark,164,164,120,81,110,81,101
3333,0,Seviper,24,Poison,None,77,77,61,42,61,42,44
3334,0,Zangoose,24,Normal,None,77,77,68,42,42,42,56
3335,0,Ledian,28,Bug,Flying,78,78,34,43,45,76,62
3335,1,Pinsir,29,Bug,None,87,87,87,73,47,56,64
3336,0,Munchlax,13,Normal,None,62,62,31,20,20,31,10
3336,1,Bagon,14,Dragon,None,41,41,31,26,21,18,24
3337,0,Gabite,31,Dragon,Ground,94,94,71,56,47,50,67
3340,0,Pachirisu,50,Electric,None,138,138,68,93,68,113,118
3340,1,Luxio,50,Electric,None,138,138,108,72,83,72,83
3340,2,Luvdisc,50,Water,None,121,121,53,78,63,88,120
3340,3,Jigglypuff,50,Normal,Fairy,193,193,68,43,68,48,43
3340,4,Kirlia,50,Psychic,Fairy,116,116,58,58,88,78,73
3340,5,Bonsly,50,Rock,None,128,128,103,118,33,68,33
3341,0,Corsola,50,Water,Rock,133,133,78,108,88,108,58
3341,1,Marill,50,Water,Fairy,148,148,43,73,43,73,63
3341,2,Aipom,50,Normal,None,133,133,93,78,63,78,108
3341,3,Poliwhirl,50,Water,None,143,143,88,88,73,73,113
3342,0,Delcatty,50,Normal,None,148,148,88,88,78,78,93
3342,1,Beautifly,50,Bug,Flying,138,138,93,73,123,73,88
3342,2,Weepinbell,50,Grass,Poison,143,143,113,73,108,68,78
3342,3,Skiploom,50,Grass,Flying,133,133,68,73,68,88,103
3342,4,Sunflora,50,Grass,None,153,153,98,78,128,108,53
3342,5,Roselia,50,Grass,Poison,128,128,83,68,123,103,88
3343,0,Machoke,50,Fighting,None,158,158,123,93,73,83,68
3343,1,Onix,50,Rock,Ground,113,113,68,183,53,68,93
3343,2,Metang,50,Steel,Psychic,138,138,98,123,78,103,73
3343,3,Elekid,50,Electric,None,123,123,86,60,88,78,118
3343,4,Rotom,50,Electric,Ghost,128,128,73,100,118,100,114
3343,5,Carnivine,50,Grass,None,152,152,123,95,113,95,69
3344,0,Dugtrio,50,Ground,None,113,113,103,73,73,93,143
3344,1,Poliwrath,50,Water,Fighting,168,168,118,118,93,113,93
3344,2,Raichu,50,Electric,None,138,138,113,78,113,103,133
3344,3,Rotom,50,Electric,Ghost,128,128,73,100,118,100,114
3344,4,Lunatone,50,Rock,Psychic,148,148,78,88,118,108,93
3344,5,Elekid,50,Electric,None,123,123,86,60,88,78,118
3345,0,Charmeleon,50,Fire,None,136,136,87,81,103,88,103
3345,1,Quilava,50,Fire,None,136,136,87,81,103,88,103
3345,2,Monferno,50,Fire,Fighting,142,142,101,75,101,75,104
3345,3,Grotle,50,Grass,None,153,153,112,108,78,88,59
3345,4,Sandslash,50,Ground,None,153,153,123,133,68,78,88
3345,5,Prinplup,50,Water,None,142,142,89,91,104,99,73
3346,0,Flareon,50,Fire,None,143,143,153,83,118,133,88
3346,1,Altaria,50,Dragon,Flying,153,153,93,113,93,128,103
3346,2,Houndoom,50,Dark,Fire,153,153,113,73,133,103,118
3346,3,Torkoal,50,Fire,None,148,148,108,163,108,93,43
3346,4,Flygon,50,Ground,Dragon,158,158,123,103,103,103,123
3346,5,Camerupt,50,Fire,Ground,148,148,123,93,128,98,63
3347,0,Riolu,50,Fighting,None,118,118,93,63,58,63,83
3347,1,Grovyle,50,Grass,None,128,128,88,68,108,88,118
3347,2,Vigoroth,50,Normal,None,158,158,103,103,78,78,113
3347,3,Luxio,50,Electric,None,138,138,108,72,83,72,83
3347,4,Gabite,50,Dragon,Ground,146,146,113,88,73,78,105
3347,5,Combusken,50,Fire,Fighting,138,138,108,83,108,83,78
3348,0,Pachirisu,50,Electric,None,138,138,68,93,68,113,118
3348,1,Luxio,50,Electric,None,138,138,108,72,83,72,83
3348,2,Luvdisc,50,Water,None,121,121,53,78,63,88,120
3348,3,Jigglypuff,50,Normal,Fairy,193,193,68,43,68,48,43
3348,4,Kirlia,50,Psychic,Fairy,116,116,58,58,88,78,73
3348,5,Bonsly,50,Rock,None,128,128,103,118,33,68,33
3349,0,Corsola,50,Water,Rock,133,133,78,108,88,108,58
3349,1,Marill,50,Water,Fairy,148,148,43,73,43,73,63
3349,2,Aipom,50,Normal,None,133,133,93,78,63,78,108
3349,3,Ledian,50,Bug,Flying,133,133,58,73,78,133,108
3349,4,Poliwhirl,50,Water,None,143,143,88,88,73,73,113
3350,0,Delcatty,50,Normal,None,148,148,88,88,78,78,93
3350,1,Beautifly,50,Bug,Flying,138,138,93,73,123,73,88
3350,2,Weepinbell,50,Grass,Poison,143,143,113,73,108,68,78
3350,3,Skiploom,50,Grass,Flying,133,133,68,73,68,88,103
3350,4,Sunflora,50,Grass,None,153,153,98,78,128,108,53
3350,5,Roselia,50,Grass,Poison,128,128,83,68,123,103,88
3351,0,Machoke,50,Fighting,None,158,158,123,93,73,83,68
3351,1,Onix,50,Rock,Ground,113,113,68,183,53,68,93
3351,2,Metang,50,Steel,Psychic,138,138,98,123,78,103,73
3351,3,Elekid,50,Electric,None,123,123,86,60,88,78,118
3351,4,Rotom,50,Electric,Ghost,128,128,73,100,118,100,114
3351,5,Carnivine,50,Grass,None,152,152,123,95,113,95,69
3352,0,Charmeleon,50,Fire,None,136,136,87,81,103,88,103
3352,1,Quilava,50,Fire,None,136,136,87,81,103,88,103
3352,2,Monferno,50,Fire,Fighting,142,142,101,75,101,75,104
3352,3,Grotle,50,Grass,None,153,153,112,108,78,88,59
3352,4,Sandslash,50,Ground,None,153,153,123,133,68,78,88
3352,5,Prinplup,50,Water,None,142,142,89,91,104,99,73
3353,0,Riolu,50,Fighting,None,118,118,93,63,58,63,83
3353,1,Grovyle,50,Grass,None,128,128,88,68,108,88,118
3353,2,Vigoroth,50,Normal,None,158,158,103,103,78,78,113
3353,3,Luxio,50,Electric,None,138,138,108,72,83,72,83
3353,4,Gabite,50,Dragon,Ground,146,146,113,88,73,78,105
3353,5,Combusken,50,Fire,Fighting,138,138,108,83,108,83,78
3358,0,Kadabra,35,Psychic,None,85,85,42,38,101,66,91
3358,1,Bronzor,35,Steel,Psychic,97,97,34,77,34,77,33
3358,2,Toxicroak,37,Poison,Fighting,121,121,96,66,81,66,81
3359,0,Kadabra,38,Psychic,None,92,92,45,41,109,71,98
3359,1,Bronzor,38,Steel,Psychic,105,105,36,84,36,84,36
3359,2,Toxicroak,40,Poison,Fighting,130,130,104,71,88,71,87
3360,0,Zubat,14,Poison,Flying,40,40,22,19,18,21,25
3360,1,Purugly,16,Normal,None,54,54,37,31,31,29,46
3361,0,Golbat,37,Poison,Flying,115,115,77,70,66,73,84
3361,1,Bronzor,37,Steel,Psychic,102,102,36,81,36,81,35
3361,2,Purugly,39,Normal,None,118,118,83,68,68,65,106
3362,0,Bronzor,41,Steel,Psychic,112,112,39,90,39,90,38
3362,1,Golbat,42,Poison,Flying,130,130,87,78,74,83,95
3362,2,Purugly,45,Normal,None,135,135,95,78,78,74,122
3363,0,Zubat,18,Poison,Flying,48,48,27,24,22,25,31
3363,1,Skuntank,20,Poison,Dark,78,78,49,39,40,36,45
3364,0,Bronzor,41,Steel,Psychic,112,112,39,90,39,90,38
3364,1,Golbat,41,Poison,Flying,127,127,85,77,73,81,93
3364,2,Skuntank,46,Poison,Dark,167,167,107,83,86,77,98
3365,0,Golbat,38,Poison,Flying,118,118,79,71,68,75,87
3365,1,Bronzor,38,Steel,Psychic,105,105,36,84,36,84,36
3365,2,Toxicroak,40,Poison,Fighting,130,130,104,71,88,71,87
3366,0,Golbat,42,Poison,Flying,130,130,87,78,74,83,95
3366,1,Bronzor,42,Steel,Psychic,115,115,40,92,40,92,39
3366,2,Toxicroak,44,Poison,Fighting,142,142,114,78,96,78,95
3367,0,Zubat,15,Poison,Flying,42,42,23,20,19,22,26
3367,1,Purugly,17,Normal,None,57,57,39,32,32,31,49
3368,0,Golbat,38,Poison,Flying,118,118,79,71,68,75,87
3368,1,Bronzor,38,Steel,Psychic,105,105,36,84,36,84,36
3368,2,Purugly,40,Normal,None,121,121,85,70,70,66,109
3369,0,Bronzor,44,Steel,Psychic,120,120,41,96,41,96,41
3369,1,Golbat,44,Poison,Flying,135,135,91,82,78,86,100
3369,2,Purugly,46,Normal,None,137,137,97,80,80,75,124
3370,0,Bronzong,58,Steel,Psychic,166,166,129,160,117,160,64
3370,1,Golbat,58,Poison,Flying,175,175,118,107,101,112,130
3370,2,Purugly,60,Normal,None,176,176,125,103,103,97,161
3371,0,Zubat,21,Poison,Flying,55,55,31,27,25,29,35
3371,1,Skuntank,23,Poison,Dark,88,88,56,44,45,41,51
3372,0,Bronzor,44,Steel,Psychic,120,120,41,96,41,96,41
3372,1,Golbat,44,Poison,Flying,135,135,91,82,78,86,100
